我是美国人。;wo3 shi4 mei3guo2ren2.;I am American.
我是中国人。;wo3 shi4 zhong1guo2ren2.;I am Chinese.
他是中国人吗？不是。;ta1 shi4 zhong1guo2ren2 ma? bu2 shi4;Is he Chinese? No, he is not.
他叫什么名字？;ta1 jiao4 shen2me ming2zi?;What's his name?
我的名字叫王丽丽。;wo3 de ming2zi jiao4 Wang2 Lili.;My name is Wang Lili.
你叫什么名字？;ni3 jiao4 shen2me ming2zi?; What's his name?
德国的;de2 guo2 de;German
德国人;de2 guo2 ren2;German
法国的;fa3 guo2 de;French
法国人;fa3 guo2 ren2;French
俄国的;e2 guo2 de;Russian
俄国人;e2 guo2 ren2;Russian
英国的;ying1 guo2 de;English
英国人;ying1 guo2 ren2;English
日本的;ri4 ben3 de;Japanese
日本人;ri4 ben3 ren2;Japanese
台湾的;tai2 wan1 de;Taiwanese
台湾人;tai2 wan1 ren2;Taiwanese
越南的;yue4 nan2 de;Vietnamese
越南人;yue4 nan2 ren2;Vietnamese
意大利的;yi4 da4 li4 de;Italian
意大利人;yi4 da4 li4 ren2;Italian
阿拉伯的;a1 la1 bo2 de;Arabic
阿拉伯人;a1 la1 bo2 ren2;Arabic
